palabra_A,palabra_B,vector_inicial_hash,trayectoria,palabra_final_mas_cercana,distancia_geometrica,tipo_resultado
fonologa,desventurados,8250179a,8250179a..35c2dc60,preconcebir,1.6424,nuevo_atractor
falleciais,mañanicas,33017311,33017311..0b71e0fb,esdrujulizada,1.5411,nuevo_atractor
maridillos,sintonices,ab3593f9,ab3593f9..d006767d,halago,0.6795,nuevo_atractor
zanganada,emplantillados,ea15f884,ea15f884..7338c981,arregazaramos,1.8162,nuevo_atractor
engandujemos,mazapanes,8a5ea55b,8a5ea55b..948fa460,enmarabamos,0.5096,nuevo_atractor
desayunais,rumoreabamos,4e981fb1,4e981fb1..30cc687c,aguachabas,1.8910,nuevo_atractor
verane,socollonean,4f97e4fc,4f97e4fc..575f6163,solarian,1.7390,nuevo_atractor
arronzase,capaceen,c0614bea,c0614bea..934aff45,destosiera,0.9177,nuevo_atractor
calosfriaren,suscitaran,c78a64e4,c78a64e4..7269f57f,mordaceara,0.6881,nuevo_atractor
espontaneaste,deschavetasemos,6b2abc63,6b2abc63..6b84ae5a,gongorizases,0.6284,nuevo_atractor
ratonares,reaparecieses,db181b0e,db181b0e..de8783b0,secad,1.0834,nuevo_atractor
relojeaban,delimitado,33921fa7,33921fa7..8469036d,paganizad,0.9814,nuevo_atractor
desendiablaren,desnarigamos,17bf8959,17bf8959..545a8656,irrespeto,0.8807,nuevo_atractor
cundundeases,sutilezas,7c3615b8,7c3615b8..a41c4e28,aspillas,0.8126,nuevo_atractor
estrellasteis,desenconaran,7a4a0e9a,7a4a0e9a..eeeecf89,celemineaseis,0.8819,nuevo_atractor
desincentivase,rugido,bbc5606e,bbc5606e..6c8dfe8e,doblegares,0.5906,nuevo_atractor
piojentos,encholais,6b2b5abc,6b2b5abc..780a06a4,guayabera,0.6452,nuevo_atractor
pivotar,zangoteas,428a28d0,428a28d0..1478620b,hoyoso,0.7279,nuevo_atractor
peliduros,enviciareis,efd4742b,efd4742b..3cf4846c,temera,1.4910,nuevo_atractor
indisponiendo,honorificaras,54c1e88a,54c1e88a..5010928d,cuadriculan,0.8319,nuevo_atractor
dragamos,aplazaremos,ccb619f6,ccb619f6..ad1a10e0,josefismos,1.3453,nuevo_atractor
desasegurares,españolee,fd11bf8d,fd11bf8d..63432f4f,biosferas,2.0934,nuevo_atractor
latrocinais,honraren,f317156c,f317156c..75e32e0b,negociacion,0.9877,nuevo_atractor
destaramos,sugestiva,ddd2e5b9,ddd2e5b9..41263058,latiguead,0.8809,nuevo_atractor
descomulgaba,ensangrentaron,11913b7b,11913b7b..4fd7bcb2,deslastrabais,0.7841,nuevo_atractor
formalidades,redila,558a9dfc,558a9dfc..fe5f07c9,deszocare,0.9307,nuevo_atractor
baldonareis,hipnotizarias,bfaa431a,bfaa431a..00569f2b,bizqueado,0.8938,nuevo_atractor
canturrearias,desencarecieran,a035eb5a,a035eb5a..43aa3c73,paganizad,0.6607,nuevo_atractor
resguardaseis,exonerarias,65732498,65732498..731f255a,epitomadora,1.1916,nuevo_atractor
marinar,redarguyo,a66a2bd5,a66a2bd5..ba0d25ca,balastaras,0.8778,nuevo_atractor
alabados,impediremos,cb833c1a,cb833c1a..af2889a3,contentura,1.3578,nuevo_atractor
excretariamos,rescaldariais,a6ea8895,a6ea8895..9b89a533,empobrecieremos,0.9891,nuevo_atractor
sorrapearais,descacilariamos,dcec8928,dcec8928..79b44be3,destusaba,0.9302,nuevo_atractor
juguetearias,cacareare,b0301892,b0301892..b412caaa,confiabilidad,1.0255,nuevo_atractor
resonando,pegotearamos,749efae2,749efae2..5527bff8,discernian,1.3944,nuevo_atractor
aspergeando,apocoparais,678889a1,678889a1..ad0b44df,aprestigien,0.4920,nuevo_atractor
esperaron,dopamos,44da51c0,44da51c0..2a3bbb0b,antelacion,0.3410,nuevo_atractor
recejaron,sinterizarias,60c41a63,60c41a63..3b5f924c,contentura,1.5151,nuevo_atractor
desparedare,boinas,d384b94d,d384b94d..f36cf57d,estampillaba,0.8840,nuevo_atractor
versatil,layaba,9cd3b31f,9cd3b31f..8ea386bc,cooptarian,0.7543,nuevo_atractor
radiodifundia,decaparia,578975dd,578975dd..821ffdbd,faltase,1.5796,nuevo_atractor
despale,acañavereados,f226621d,f226621d..886cc5c3,desarbolaba,1.4764,nuevo_atractor
amainaron,hastiasen,60d57293,60d57293..f59f290a,locos,0.8194,nuevo_atractor
interprenderan,vivasemos,fb8e1eab,fb8e1eab..9b4e00cb,aconteceres,0.5548,nuevo_atractor
encureñasteis,carite,7cb41056,7cb41056..8553199a,perifrasead,0.7077,nuevo_atractor
desempegada,zarandarais,b636d7b8,b636d7b8..ff150014,pizcasemos,0.8633,nuevo_atractor
corcharen,murriarais,b232db27,b232db27..3a3093a1,fiscalizaremos,0.7220,nuevo_atractor
murmuramos,encumbro,c54cce04,c54cce04..23b5d2ab,compartirias,0.9846,nuevo_atractor
gaguearemos,recavadas,04d3199b,04d3199b..80863958,guayabera,0.6737,nuevo_atractor
revindicados,satanizaseis,b970176f,b970176f..f056d69d,asabais,0.6625,nuevo_atractor
rosaleras,pialaseis,c716fcf2,c716fcf2..0408c224,controvirtio,1.2966,nuevo_atractor
vestigio,engramarian,4f18e04e,4f18e04e..92006c57,abrillantamos,2.2899,nuevo_atractor
neronianos,sinceramos,b01eaf56,b01eaf56..00c4c9e9,encizañaron,0.8354,nuevo_atractor
embarullareis,trastrabar,2acd97cf,2acd97cf..094c5b83,inopinable,0.9006,nuevo_atractor
repizcarian,descolorieses,19fe9e85,19fe9e85..d2de6995,americaniza,0.4152,nuevo_atractor
devanadora,amortecidas,10864537,10864537..b9d435fd,temera,0.6286,nuevo_atractor
bolichearamos,acidifican,62cdccad,62cdccad..080f8e1a,atarrajan,1.4416,nuevo_atractor
desenalbardases,traidas,920a606c,920a606c..83962708,temera,0.7413,nuevo_atractor
desempuñado,desenfilaba,1db9f226,1db9f226..b8fd5b9f,irrespeto,0.9012,nuevo_atractor
tetuanies,subentiendan,f992b75d,f992b75d..93b5fa16,atendedora,0.6215,nuevo_atractor
enaltecierais,dandismos,4f5da2c5,4f5da2c5..18488b6f,doblegares,0.5672,nuevo_atractor
malcomido,prefinimos,dc202536,dc202536..89b75b4f,alismas,1.3174,nuevo_atractor
retendran,trasluciria,1ff9a21a,1ff9a21a..11a7fdb6,entierras,2.2199,nuevo_atractor
espadones,trasvenasteis,1a5b79f9,1a5b79f9..d0c42727,enanzares,0.5392,nuevo_atractor
jabeque,trepidaria,2378f166,2378f166..f8294f97,revinierais,1.4574,nuevo_atractor
redhibirias,contramarchase,49e693b4,49e693b4..4d8ddcf0,enacere,0.5924,nuevo_atractor
gola,desencadenaron,b605c601,b605c601..02138827,guajes,0.6251,nuevo_atractor
puntuabais,jiloteais,8ac5b8e0,8ac5b8e0..6d7d1a55,palatinos,1.5945,nuevo_atractor
reimportarias,despertadas,a635ddfe,a635ddfe..ce6f22f7,controvirtio,1.6490,nuevo_atractor
desatacas,entercarse,9f62792f,9f62792f..6fea30df,escuadronare,0.8879,nuevo_atractor
penultima,marlotabamos,bbe04ebf,bbe04ebf..0fadcc3f,amontonadores,1.5758,nuevo_atractor
desasistia,enarmonarias,09308dbf,09308dbf..ea584da0,reprehendeis,1.6263,nuevo_atractor
virilizares,aperraran,40ca636d,40ca636d..1d60304b,esgonzaban,0.7102,nuevo_atractor
zocato,dielectricas,4c3c7a5b,4c3c7a5b..515c8af6,asacases,1.0761,nuevo_atractor
chatarreas,carihartos,2b846641,2b846641..15f09bb5,emascularon,0.9591,nuevo_atractor
pavitonto,repletare,d4babfb1,d4babfb1..d66013f9,irrespeto,0.8043,nuevo_atractor
inebriarian,asuena,bc2e0dd4,bc2e0dd4..1909c53f,cobrados,0.3931,nuevo_atractor
venteariais,ladrillaramos,d301de76,d301de76..87a13b9c,secad,1.1226,nuevo_atractor
limpiaderas,resobraste,ab7bc3ce,ab7bc3ce..43a7ab5f,gongorizases,0.6141,nuevo_atractor
empavesada,farandulicos,f412d042,f412d042..89173155,infectivos,0.9675,nuevo_atractor
blocariamos,universitaria,08ec49c4,08ec49c4..f11abc5c,escuadronare,1.0274,nuevo_atractor
descender,henificad,911a69b6,911a69b6..18b48eac,mendigasen,1.2134,nuevo_atractor
aspergeais,federar,37bbe5f7,37bbe5f7..fabffc89,alebresteis,0.8313,nuevo_atractor
cusidas,academizaremos,3d1f2891,3d1f2891..7296507b,baremo,0.8209,nuevo_atractor
provocariamos,deliberamos,1e72c36e,1e72c36e..b4ad3ab2,despiezaste,0.9808,nuevo_atractor
estaquillo,populachero,6f056b58,6f056b58..8756f359,escoñaste,0.8272,nuevo_atractor
desconsiderase,aceptais,f475ade1,f475ade1..5b19bfae,decelere,0.8213,nuevo_atractor
rococos,sonorizaramos,10f62562,10f62562..e680ad49,puparemos,0.6357,nuevo_atractor
concurrencias,prisuelos,a3968240,a3968240..35036368,debrocaron,1.2798,nuevo_atractor
cerrajeaban,incentivasteis,5b821f07,5b821f07..251307da,cafeteasemos,0.6311,nuevo_atractor
didimas,espedazando,e510596e,e510596e..d6c8795e,retortijaremos,0.6246,nuevo_atractor
maliciais,comediante,7d51691e,7d51691e..2af57849,desposeyeseis,0.7581,nuevo_atractor
zarabutearas,irruido,51724b57,51724b57..1036b075,agalerados,0.6695,nuevo_atractor
guayabates,sachares,e145a289,e145a289..f0489798,amordazaremos,1.2650,nuevo_atractor
soñareis,campanearas,d7437962,d7437962..0eee3d37,puparemos,0.7123,nuevo_atractor
pelechando,antofagos,f60fa83c,f60fa83c..677f6cd2,barroquizantes,0.7191,nuevo_atractor
carnerear,derritiesen,f4449a78,f4449a78..dabc6c68,restablecere,1.7521,nuevo_atractor
lumbral,ensortijamiento,87a9adda,87a9adda..ebbe56c9,restablecere,0.5482,nuevo_atractor
meces,radicicolas,d8ad3ba3,d8ad3ba3..a3ade8bc,esperaron,1.0697,nuevo_atractor
cibaria,desconsentia,28c27375,28c27375..5b7fe591,desbasta,1.2605,nuevo_atractor
hermaneciesemos,grulla,c91a83d1,c91a83d1..e5d1206b,inopinable,0.7980,nuevo_atractor
decampariais,encallejonan,f4ce9859,f4ce9859..becb2d8a,currican,0.5778,nuevo_atractor
atrancasen,zarpea,451a13f0,451a13f0..a64579bf,acalabrotes,2.1690,nuevo_atractor
atristaras,aticismo,40385836,40385836..68d24820,contramallemos,1.3339,nuevo_atractor
alucharias,ensobeabamos,2d248abc,2d248abc..ae0862d0,tempanan,0.9257,nuevo_atractor
contengamos,trucas,6ccc9f56,6ccc9f56..9d19b481,aconteceres,0.8930,nuevo_atractor
reincorporo,despaturrados,b4f12843,b4f12843..4ef32060,encontraste,0.7640,nuevo_atractor
escapulemos,escola,94688e27,94688e27..aa6f0572,flacuchentas,1.4498,nuevo_atractor
carcavinando,enseñabais,378348ea,378348ea..6fef414d,chismoseare,0.5569,nuevo_atractor
zonificares,requintamos,e327c40b,e327c40b..c8f359db,celemineaseis,0.6834,nuevo_atractor
sobrepujaremos,oyeron,8d85b84d,8d85b84d..93c967d2,puristas,1.2203,nuevo_atractor
conflagrarias,connacionales,bf9c92e5,bf9c92e5..209f8b7e,incontroladas,1.5290,nuevo_atractor
laringea,protocolicemos,c53cdcf8,c53cdcf8..f97f2129,buscar,0.7382,nuevo_atractor
mohatras,iotizacion,00e65569,00e65569..ea15ca26,narro,0.7605,nuevo_atractor
intentarais,gruñerais,1e83b1db,1e83b1db..70e9686f,asumiamos,0.5040,nuevo_atractor
brunos,depreciar,1f38ab68,1f38ab68..7f334d60,temera,1.5887,nuevo_atractor
clamases,confese,fc0dc309,fc0dc309..c8ee6550,adonizais,1.5053,nuevo_atractor
rechizamos,fosilizaba,bc342e20,bc342e20..0d451982,rollaba,0.9397,nuevo_atractor
acabangara,encanutan,09e66109,09e66109..845820b4,titeis,0.9191,nuevo_atractor
sanantoninos,intercedes,65fbf97e,65fbf97e..671a07e3,arepitas,1.5836,nuevo_atractor
sobaqueras,fajeaban,2de6180c,2de6180c..27bceab0,puparemos,1.5170,nuevo_atractor
pepenemos,achaplinando,7f7e7233,7f7e7233..976a4ea3,tatuaron,0.4478,nuevo_atractor
herbivoro,emburrien,f4327180,f4327180..9fa91113,chotacabras,1.3168,nuevo_atractor
promovieremos,pomologico,51db7f76,51db7f76..c8d12f11,engruesas,1.4978,nuevo_atractor
sifilazo,embarullaban,ba10de13,ba10de13..278936d8,esquinzaren,0.7587,nuevo_atractor
desvirare,sobrenadaren,3e406c4b,3e406c4b..4f3d0b68,rollaba,0.7066,nuevo_atractor
desavisados,estotras,10d4746c,10d4746c..af9c0e80,avanezco,1.2662,nuevo_atractor
abonadoras,aceraren,e4cf2494,e4cf2494..3b15b3f8,cecinareis,0.7499,nuevo_atractor
orquestasen,musicomanos,2bc682b7,2bc682b7..c78bb369,colmase,0.5573,nuevo_atractor
salvabas,mapearias,48d6aeaf,48d6aeaf..8d41400a,cecinareis,0.7964,nuevo_atractor
chamelabamos,panegirizar,db8dfe8d,db8dfe8d..414894e9,cecinareis,0.9801,nuevo_atractor
cacaraqueamos,apandillare,6546c848,6546c848..f5c33082,picaramente,1.1917,nuevo_atractor
descoloraramos,redoblon,a338d2f6,a338d2f6..05b164ba,concienciabas,1.0174,nuevo_atractor
estribarias,acototares,e4e4bad4,e4e4bad4..a344f25c,volteada,2.0306,nuevo_atractor
innumeros,vacileis,143c4b0e,143c4b0e..4ef770cd,esperaron,0.6337,nuevo_atractor
intercambiador,utilizan,cae85af2,cae85af2..783b7569,inopinable,1.0335,nuevo_atractor
clisterizada,graduais,b4dd73dd,b4dd73dd..67588862,desarbolaba,0.5056,nuevo_atractor
semidiametro,churritando,8b4674f5,8b4674f5..0b068dac,desnuclearizado,0.6534,nuevo_atractor
pordioseases,desinclinen,1418098f,1418098f..4097ebff,reconfortases,0.6774,nuevo_atractor
fusionares,fona,e4b1dd89,e4b1dd89..128040c5,confiabilidad,1.8145,nuevo_atractor
maullan,enjordanaren,cb904275,cb904275..2871c47a,sultanicas,0.8464,nuevo_atractor
complacen,atracadores,8a31ccf0,8a31ccf0..e6c40229,agalerados,1.7638,nuevo_atractor
estrenemos,enfaldadas,b8f33027,b8f33027..86649292,valsando,0.7249,nuevo_atractor
conduchabas,adarvaren,f366714d,f366714d..5d07176a,soliloquiais,0.4746,nuevo_atractor
solevantaras,amotetasen,5ab0fcd1,5ab0fcd1..6bbb145f,adonizais,0.6364,nuevo_atractor
fumigaseis,glotoneariamos,e36b513c,e36b513c..def7a680,solarian,0.7834,nuevo_atractor
sinderesis,acabangaramos,4753f7a4,4753f7a4..ee24bf86,acentuarais,1.6506,nuevo_atractor
aborronaremos,superpondre,51f39531,51f39531..a608ba1c,escobos,1.5039,nuevo_atractor
subintrase,excogitadas,3de18707,3de18707..a48de1a7,encunetaban,1.4667,nuevo_atractor
laguneares,paralogizasteis,b5fd64c9,b5fd64c9..6deadad9,azotarian,1.6879,nuevo_atractor
seccion,platanal,45ba4189,45ba4189..bf70bdc4,conjuramentado,0.8620,nuevo_atractor
filosofad,espalmen,06370fc9,06370fc9..700ad280,faltase,1.4220,nuevo_atractor
agilizacion,corcovamos,238d44ea,238d44ea..141a28a9,escaricen,1.9097,nuevo_atractor
bañares,acorzarais,bdc30902,bdc30902..7db82766,corezuelo,1.1961,nuevo_atractor
estenografiase,ambidextra,5972f661,5972f661..55ae91ee,acatais,0.7074,nuevo_atractor
catatipia,enlosarias,681376c8,681376c8..e5a49cf8,desarbolaba,0.5649,nuevo_atractor
latinizad,ensuelamos,99f78209,99f78209..eee46924,egeno,1.1598,nuevo_atractor
raqueare,hijasdalgo,d0a388af,d0a388af..5f979be5,escobos,1.1250,nuevo_atractor
desbordaren,cojutepequenses,02626480,02626480..525b0c11,echacorveariais,0.9951,nuevo_atractor
metastatizo,escapulan,c9d2f2a5,c9d2f2a5..3cfb57c8,escuadronare,0.9232,nuevo_atractor
rayes,achacar,55ce1965,55ce1965..62e57ccb,acentuarais,1.1938,nuevo_atractor
desmadejaras,abogaremos,02f5b4ab,02f5b4ab..1e2e35b5,encaballando,1.5810,nuevo_atractor
desayunara,originario,beef323b,beef323b..84066095,descapotes,1.4052,nuevo_atractor
abruces,interviuvaremos,658272c0,658272c0..a86bacac,evaluariamos,0.9236,nuevo_atractor
piantase,concretaria,7b20aed1,7b20aed1..14ff8907,buscar,1.1623,nuevo_atractor
brillando,fortificador,84219b96,84219b96..9c33e85f,enastadas,0.6991,nuevo_atractor
parquearian,oleariais,0f44bf5f,0f44bf5f..9da61d49,fiscalizaremos,1.0368,nuevo_atractor
reeducaran,cabresteeis,94c84d26,94c84d26..46a0aee9,secad,1.5809,nuevo_atractor
fula,zabordabamos,090233f3,090233f3..f90614a4,aguitarias,1.1324,nuevo_atractor
trusa,aparten,46fe7edd,46fe7edd..dc2f1b65,toalleros,1.0498,nuevo_atractor
prepusierais,enrehojarais,5d0520b0,5d0520b0..57dbc3ed,trompetearia,0.6887,nuevo_atractor
desencajonan,descañonan,0c2acbfe,0c2acbfe..bc92ccc6,esdrujulizada,1.3245,nuevo_atractor
descartaramos,brescareis,d20cffb6,d20cffb6..5ad3c393,entierras,0.9062,nuevo_atractor
fertilizaba,urgentemente,fbb50fa1,fbb50fa1..955d7de7,adonizais,0.3744,nuevo_atractor
empistolariamos,islams,98dbabac,98dbabac..0875213f,gestionemos,0.9105,nuevo_atractor
pichirreabas,desasiras,3e0fa125,3e0fa125..c8abc342,deszocare,0.6692,nuevo_atractor
insoladas,chaucheeis,01901dfd,01901dfd..51784215,valsando,0.6481,nuevo_atractor
destablaban,endurar,e4dbd028,e4dbd028..7a0751d4,cerveceasteis,1.7987,nuevo_atractor
isoquimenas,adocenabamos,02fd9125,02fd9125..7f943a6b,entrujaramos,0.8368,nuevo_atractor
tuitivos,alienabamos,80563c09,80563c09..f01be697,solistas,0.6935,nuevo_atractor
alebrestariais,adulteces,b50c5e9e,b50c5e9e..e200fcd3,chismoseare,1.1867,nuevo_atractor
lagrimeeis,sotanillas,f94f3d1d,f94f3d1d..28645af5,engruesas,1.0125,nuevo_atractor
sacarificacion,caucano,1513b2ad,1513b2ad..343b9016,solistas,0.6865,nuevo_atractor
repensaras,cacerias,d0064b7f,d0064b7f..119070ad,aprestigien,0.5542,nuevo_atractor
achancaste,desconformares,76c40cb6,76c40cb6..dae49fe5,coscachos,1.5859,nuevo_atractor
amainad,paroli,e37ddc15,e37ddc15..54655ded,encodillares,1.3703,nuevo_atractor
aventureros,enriares,a10b96c6,a10b96c6..1f0a9548,isogeotermas,0.5692,nuevo_atractor
maleada,charleemos,291f0ff7,291f0ff7..a0668d91,relinchasemos,0.9352,nuevo_atractor
supiesemos,extraes,1ca4e9ee,1ca4e9ee..1dda4546,embarcaron,0.7754,nuevo_atractor
protagonizad,encuaderno,64f12835,64f12835..db1f7f94,caroncha,0.7224,nuevo_atractor
amortizando,cuestionaste,8666dd97,8666dd97..789255a0,taxaceos,1.6403,nuevo_atractor
alguaza,malrotan,dcbbad4d,dcbbad4d..c548feaa,enmarabamos,0.8316,nuevo_atractor
emocioneis,realegrarais,5dfc0f3b,5dfc0f3b..0a01cec5,cecinareis,1.6178,nuevo_atractor
azotasemos,contraseñaramos,5495f12d,5495f12d..b32080c9,eucariotas,1.3159,nuevo_atractor
chinamos,formularemos,17bf8d1d,17bf8d1d..101a777c,mujereabas,1.7769,nuevo_atractor
sesionaron,chirlais,c6e9b627,c6e9b627..2c82e277,retortijaremos,1.5688,nuevo_atractor
encanta,maravillamos,12ed6690,12ed6690..d2c4ec6a,tejocotes,0.8627,nuevo_atractor
desendiosado,tomadas,9826c147,9826c147..14125ebe,changallos,0.6930,nuevo_atractor
graceja,gorreasteis,bf1a999a,bf1a999a..76695aa2,bagar,1.0794,nuevo_atractor
calentariais,desempachases,4d0febb6,4d0febb6..a848ae94,imposibilitando,0.8659,nuevo_atractor
remandasen,gesticulasemos,fc4ac90e,fc4ac90e..90d36ba1,contrahago,0.8733,nuevo_atractor
entomecimiento,desembauladas,47ac4528,47ac4528..3d6bc6cc,apiñaron,0.6202,nuevo_atractor
sisarais,criben,eb9df854,eb9df854..fe16d382,senderes,0.7221,nuevo_atractor
asiento,desalmidonais,c5091617,c5091617..b3e93d45,faltase,0.5541,nuevo_atractor
convideis,crocodilos,76abe9eb,76abe9eb..fdf75da8,secad,0.7592,nuevo_atractor
aliquebraba,ultimar,c2c6d4da,c2c6d4da..d8f9cf0e,rastrojaba,0.6909,nuevo_atractor
matrimoño,rozables,12bb787b,12bb787b..82748ec7,laringoscopias,1.2618,nuevo_atractor
imbricarian,lentifiques,9faa8c55,9faa8c55..f0653f86,apiñaron,0.6292,nuevo_atractor
desviaseis,decrecisteis,4618ca06,4618ca06..414b6b01,desarraigueis,1.6513,nuevo_atractor
sonrosada,desertizaseis,8c7be6fa,8c7be6fa..c51fd82e,fiscalizaremos,1.2779,nuevo_atractor
hablistas,traduzcais,fb73c152,fb73c152..b2869ddd,agalerados,1.3042,nuevo_atractor
sisas,matachines,e93d9c98,e93d9c98..7f93e2cb,desbarbado,1.2200,nuevo_atractor
cortacorriente,apeñuscar,d1035ba5,d1035ba5..f562ed3a,puparemos,0.5917,nuevo_atractor
golpeaduras,morfos,70235d94,70235d94..2a0d0323,aromarais,0.4770,nuevo_atractor
despenolaria,popariamos,3e6e9fa3,3e6e9fa3..eff9dadd,cooptarian,0.7405,nuevo_atractor
falluqueas,rastreabais,c5df1546,c5df1546..b6e16d62,cansancio,1.6307,nuevo_atractor
chiquirriticos,hornaguea,81b155c5,81b155c5..f2c7c4c2,asareasemos,1.8119,nuevo_atractor
acardenaladas,enzurdecian,9f801e8b,9f801e8b..601e9450,atarrajan,0.8290,nuevo_atractor
vaguearias,desencolerice,68a09a67,68a09a67..444e308f,colmase,0.5523,nuevo_atractor
desclasaremos,chulesco,7e147c47,7e147c47..e47b5152,fiscalizaremos,1.0151,nuevo_atractor
amparamos,palmaran,1228ffe2,1228ffe2..f08fc988,secad,1.0119,nuevo_atractor
recinchos,maltratar,684705b6,684705b6..bd7ef16d,cigarral,0.7794,nuevo_atractor
diada,liberrima,3b44bc89,3b44bc89..adc33373,buscar,0.6136,nuevo_atractor
amilanarias,compostura,a0e0b456,a0e0b456..84cb7602,reditual,1.1160,nuevo_atractor
jarbabas,jeteasemos,3aed8adf,3aed8adf..b8227531,desnuclearizado,0.5242,nuevo_atractor
simpatizaran,unisonancia,71d70b7c,71d70b7c..64d26e2b,descepares,0.7157,nuevo_atractor
chirigoteariamos,amorecias,41cd00fc,41cd00fc..d0f3a11d,reburujaba,1.1853,nuevo_atractor
chinarias,desempapelase,41c63ad7,41c63ad7..ece3545e,atauques,0.4104,nuevo_atractor
naguatlatos,recobracion,47a861df,47a861df..c2c78e96,superdominante,0.6798,nuevo_atractor
bordease,vaqueases,22ebc61b,22ebc61b..0a6b3ff3,calderon,1.0806,nuevo_atractor
rondariamos,amordazariamos,2e9f9317,2e9f9317..c3355246,celemineaseis,0.6726,nuevo_atractor
ipsi,comandabais,7ec4d7a9,7ec4d7a9..0fd304d8,solventan,1.1214,nuevo_atractor
abarbechase,vulcanologos,8c4b7aa7,8c4b7aa7..7ab58c67,embotijasteis,0.5772,nuevo_atractor
mantenemos,fibrocartilagos,41da0298,41da0298..85453636,secad,1.3995,nuevo_atractor
decapitareis,gorgoreasen,ea9ed558,ea9ed558..0543959b,antruejabais,0.5868,nuevo_atractor
dividendo,encarecimiento,bb658cd1,bb658cd1..5159c8ba,cobrados,0.8739,nuevo_atractor
rancheros,buitrea,6dc10d2c,6dc10d2c..48e63abd,fosforita,1.4086,nuevo_atractor
desestibaseis,gargajeare,39a6fb95,39a6fb95..629a1931,estampillaba,0.6591,nuevo_atractor
sesteares,industrial,e633f2ad,e633f2ad..ebc89d3b,imposibilitando,1.2630,nuevo_atractor
zaquea,achurrascadas,7bc0b99a,7bc0b99a..ed3c2364,latiguead,0.8502,nuevo_atractor
encubertases,centavos,fb32f936,fb32f936..7d22dc05,enmarabamos,0.7232,nuevo_atractor
manicuras,maquille,33cb3c78,33cb3c78..bad2d759,desprivatizaren,1.0202,nuevo_atractor
juramento,agarroteaba,aec4b6a8,aec4b6a8..5a0bc38a,relinchasemos,1.0295,nuevo_atractor
descriabas,cercheaban,f5fe2591,f5fe2591..c140797a,buscar,1.0597,nuevo_atractor
jupearan,leccionario,ceadd801,ceadd801..94850fef,amontonadores,1.3340,nuevo_atractor
soliloquiabamos,paspareis,fa3ab550,fa3ab550..b8a9a8aa,temera,0.6453,nuevo_atractor
abnegarais,desembojadera,f9dbcc96,f9dbcc96..dc9aeda4,vitrificada,1.1717,nuevo_atractor
enhuerara,sieteenrama,7d771047,7d771047..a6525be6,epitomadora,1.3882,nuevo_atractor
aquistas,sustantivarias,95dff5e7,95dff5e7..dae1e5c5,encalichamos,0.8432,nuevo_atractor
enfastiados,deslechugasen,c25c7eac,c25c7eac..5b11aeb2,fatalicemos,0.7236,nuevo_atractor
faroleo,sobresalieron,e6689e2b,e6689e2b..6990b858,azacuan,0.8148,nuevo_atractor
zambulliras,vafeaseis,2729866b,2729866b..03eabe4a,deszocare,0.6637,nuevo_atractor
chinglareis,donaras,76627189,76627189..c8fc3a0b,secad,1.3748,nuevo_atractor
desopilarais,anoticiaban,e5be722d,e5be722d..04d423db,asabais,0.6700,nuevo_atractor
descerebrare,malrotan,443d2102,443d2102..cd0c0789,religadas,0.8678,nuevo_atractor
espantare,zahondad,1a20cf00,1a20cf00..3747c73d,habrias,0.7806,nuevo_atractor
deseslabonaste,amayuela,66b3b3f0,66b3b3f0..c3e02f5a,escobos,1.6461,nuevo_atractor
enmondado,letristas,317b5183,317b5183..d5cab7b8,toalleros,0.6118,nuevo_atractor
neologismos,semanarias,2b6247d0,2b6247d0..797131b5,extrasensorial,0.7363,nuevo_atractor
tosiguemos,guaraca,29927186,29927186..88e1822e,contrahago,1.0701,nuevo_atractor
placeemos,acotolaron,3178391f,3178391f..d3444a9f,botaneares,1.2137,nuevo_atractor
pregonaban,carcajeen,61ed91ab,61ed91ab..dfa304e2,onecerias,1.3064,nuevo_atractor
avilantes,comunicativo,f53ecb5d,f53ecb5d..bcfc110f,relinchasemos,1.2059,nuevo_atractor
versificando,recapitulen,60dce178,60dce178..bbff7043,desarbolaba,1.6182,nuevo_atractor
bulimias,embancado,b474b369,b474b369..4d1b64f7,chismoseare,0.5723,nuevo_atractor
motonaves,amerizando,5565a07d,5565a07d..044d23ce,titeis,0.6570,nuevo_atractor
enllentecieremos,besuquea,1f01d075,1f01d075..aeaa87f3,esdrujulizada,0.9924,nuevo_atractor
quilos,embargos,01926896,01926896..4d57b599,decelerabamos,0.7082,nuevo_atractor
deshonrarian,desempolvoremos,88db4dd8,88db4dd8..51cfe96a,rebutan,0.6055,nuevo_atractor
fluorados,acornaseis,633aeeec,633aeeec..a2df36f9,compasaron,0.6678,nuevo_atractor
subtitulan,pisen,a30a7227,a30a7227..fb1e6076,chismoseare,2.0562,nuevo_atractor
prevaricador,enfrontar,2098979f,2098979f..857139df,redistribuiria,1.2093,nuevo_atractor
hendir,zurdearon,61a31ee4,61a31ee4..ccdd387f,rescoldarias,1.0667,nuevo_atractor
ceceantes,namibios,18b2f19f,18b2f19f..93834b3b,despidieron,1.1336,nuevo_atractor
lastasemos,facturaste,83a0c828,83a0c828..b522dd23,faltase,1.4808,nuevo_atractor
lomearan,destemplaba,b2f88f9c,b2f88f9c..8a2dfbb8,ensayalemos,1.2892,nuevo_atractor
rehuyeron,somarrada,2bfc7d5b,2bfc7d5b..c5d954fc,esgonzaban,0.9192,nuevo_atractor
risques,recaman,65116f60,65116f60..bbacc8c1,controvirtio,1.2986,nuevo_atractor
