Concept_A,Concept_B,Emergent_Meaning,Resonance_Distance
Quantum,Flesh,Energy,3.9928
Power,Abstract,Despair,3.3544
Human,Simulation,Religion,3.9782
Simulation,Time,Quantum,4.0165
Human,Mind,Energy,4.2382
Spirit,Zero,Hypercube,4.1159
Ignorance,Destiny,Power,1.0952
Unity,Past,One,3.9679
Love,Law,Chaos,3.9103
Void,Myth,Life,3.9199
Output,Singularity,Sleep,1.3932
Reality,Separation,Power,1.0246
Religion,Singularity,Frequency,4.2554
Measurement,Infinity,Illusion,4.2009
Flesh,Future,Wisdom,0.8768
Relativity,Network,Connection,2.2206
Experiment,Abstract,One,3.9545
Structure,Frequency,Power,1.0248
Decay,Growth,Vibration,4.2092
Time,Destruction,Art,4.1103
Emotion,Separation,Line,2.7097
Awakening,Constant,Ignorance,1.5237
Immanence,Flesh,Algorithm,4.1300
Decay,Harmony,Light,4.2362
Beauty,Velocity,Power,1.0245
Cycle,Love,Atom,1.8865
Fear,Chaos,Sleep,4.0974
Hope,Universe,Chaos,3.9126
Anarchy,Infinity,Zero,4.0708
Infinity,Theorem,Energy,4.2296
Stillness,Complexity,Calculation,4.0722
Output,Model,Loop,4.1042
Complexity,Infinity,Probability,3.8905
Concrete,Gravity,Illusion,1.4040
Flesh,Art,Power,1.0370
Network,Wisdom,Dimension,1.1037
Memory,Code,Power,1.0283
Darkness,Spirit,Power,0.9148
Output,Acceleration,Power,1.0300
Wisdom,Quantum,Vibration,4.2140
Field,Noise,Power,1.0246
Consciousness,Measurement,Chaos,4.1705
Matter,Science,Logic,3.8866
Order,Motion,Dimension,1.0812
Conflict,Silence,Sleep,4.1487
One,Technology,Energy,4.2496
Network,God,Art,4.0968
Machine,Probability,Dimension,0.9698
Conflict,Harmony,Reality,4.0099
Nightmare,Objective,Subjective,4.1702
Theorem,Vibration,Folly,0.9095
Human,Dimension,Power,1.0178
Objective,Decay,System,0.7558
God,Birth,Power,1.1490
Theorem,FreeWill,Velocity,1.0709
Perception,Trinity,Concrete,4.1650
Unity,History,Despair,4.0892
Observation,Spirit,Hypercube,3.9569
Technology,Algorithm,Power,0.9141
Wisdom,Darkness,Power,0.7939
Sleep,Fractal,Algorithm,4.2111
Symmetry,Network,Destruction,4.1774
Consciousness,Nightmare,Growth,3.9460
Balance,Constant,Destruction,3.9835
Creation,One,Life,4.0755
Variable,Future,Dimension,1.1113
Death,Ignorance,God,2.8839
Complexity,Concrete,Probability,4.1652
Fear,Dream,Connection,1.0005
Thought,Information,Acceleration,3.9100
Duality,Force,Wisdom,4.2115
Illusion,Atom,Despair,4.1119
Simulation,Paradox,Code,3.4635
Mercy,Entropy,Heat,4.1837
Wave,Determinism,Subjective,1.7729
Velocity,History,Mercy,1.1303
Consciousness,Time,Power,0.7039
Model,Truth,Dimension,4.1070
Power,Feedback,Folly,0.9951
Probability,Space,Power,1.0551
Separation,Wisdom,Connection,4.1940
Particle,Function,Sleep,2.4482
Awakening,Axiom,Illusion,4.2325
Anarchy,Dimension,Art,4.1108
Singularity,Field,Death,4.1345
Input,Subjective,Power,1.0279
Output,Love,Loop,4.0988
Power,Illusion,Connection,4.1905
Immanence,Death,Sleep,4.1490
Entropy,Justice,Illusion,1.2031
Probability,Harmony,Concrete,4.1556
Power,Abstract,Despair,3.3544
Past,Justice,Relative,2.3120
Logic,Network,Sleep,4.1449
Decay,Mass,Acceleration,4.1060
Logic,Awakening,Algorithm,4.0463
Void,Axiom,Birth,4.2398
Emotion,Code,Power,0.9211
Function,Growth,Subjective,4.2002
Illusion,Nature,Connection,4.1878
Loop,Unity,Connection,4.1859
Technology,Force,Wisdom,0.9331
Creation,Observation,System,4.1729
Thought,Relativity,Energy,4.2499
Folly,Stillness,Power,1.0743
Absolute,Ignorance,Hypercube,2.2280
Future,Universe,Dimension,0.8040
Paradox,Consciousness,Geometry,3.9987
Order,Output,Power,1.0246
Duality,Feedback,Energy,4.2169
Silence,Ignorance,Sleep,2.1616
Cycle,Memory,Concrete,4.1683
Hypothesis,Symmetry,Subjective,2.4798
Knowledge,Order,Geometry,2.4706
Nature,Complexity,Connection,3.9473
Experiment,Human,Frequency,1.9414
Light,Velocity,Concrete,1.3440
Flesh,Decay,Wisdom,1.0372
Transcendence,Experiment,Wisdom,4.2114
Nightmare,Spirit,Hypercube,4.2550
Momentum,Light,Power,1.0246
Awakening,Soul,Energy,3.2763
Unity,Balance,Connection,4.1859
Zero,Immanence,Power,1.0183
Anarchy,Noise,Calculation,4.0611
Frequency,Dream,Power,1.0813
Duality,Universe,Power,1.0251
Light,Heat,System,4.1737
Particle,Dream,Heat,4.0597
Force,Objective,Connection,4.1893
Trinity,Simplicity,Power,1.0452
Illusion,Perception,Despair,3.9317
Perception,Solid,Sleep,4.2774
Perception,Spirit,Illusion,4.2011
Entropy,Evolution,Art,4.1138
Technology,Truth,Power,1.0246
Prophecy,Point,Objective,3.9420
Wave,Parameter,Connection,4.2028
Resonance,Soul,Subjective,2.1900
Abstract,Duality,Energy,4.2492
Concrete,Power,Dimension,1.1720
Death,Destiny,Sleep,4.1484
Law,Science,Wisdom,1.1206
Prophecy,Evolution,Dimension,1.0699
Force,Beauty,Wisdom,4.2125
Beauty,Justice,Folly,1.2329
Abstract,Field,One,3.9063
Velocity,Parameter,Power,1.0808
Function,Calculation,Objective,4.0734
Subjective,Wisdom,Connection,3.6792
Separation,Thought,Folly,1.7026
Simulation,Energy,Parameter,4.2519
Folly,Structure,Simplicity,1.0163
Heat,Death,Dimension,0.7804
Resonance,Information,Dimension,0.8072
Transcendence,God,Power,1.0476
Velocity,Truth,Mercy,1.9203
Law,Output,Solid,4.0690
Perception,Measurement,Illusion,3.7440
Objective,Force,Connection,4.1893
Life,Mass,Connection,4.2057
Motion,Parameter,Dimension,1.1315
Particle,Science,Algorithm,4.1605
Awakening,Hypercube,Decay,4.0035
Parameter,Trinity,Power,1.0753
Point,Perception,Power,0.8996
Order,Hypercube,Ignorance,4.2400
Geometry,Zero,Power,1.0244
Probability,Transcendence,Variable,1.1055
Art,Transcendence,Power,1.0246
Separation,Balance,Heat,4.2103
Law,Technology,Wisdom,1.3391
System,Axiom,Zero,1.3159
Motion,Religion,Power,1.0248
Illusion,Nightmare,Power,1.0395
Wave,Growth,Resonance,3.9980
Truth,Love,Dimension,4.1164
Observation,Order,Hypercube,4.0505
Universe,Trinity,Sleep,4.1412
Simulation,Variable,Power,1.0350
Present,Conflict,Concrete,4.1727
Solid,Measurement,Chaos,3.9034
Model,Mass,Heat,4.1905
Order,Destiny,Connection,2.4688
Machine,Perception,Illusion,4.1180
Absolute,System,Heat,4.2328
Past,Myth,Power,1.0860
Concrete,Subjective,Power,1.0290
Thought,Future,Vibration,4.0849
Probability,Order,System,2.9425
Present,Past,Relative,2.4130
Axiom,Emotion,Illusion,3.0450
Justice,Decay,Power,1.2063
Objective,Acceleration,Heat,3.7761
Vibration,Relative,Wisdom,0.9301
Sleep,Complexity,Power,1.0166
System,Fear,Power,1.0247
Reality,Subjective,Power,1.0849
Immanence,Dream,Sleep,4.2944
Observation,Decay,Hypercube,3.6686
Field,Decay,Power,1.0281
Function,Infinity,Mind,3.5837
Symmetry,Plane,Light,4.1772
Simplicity,Force,Power,1.0626
Present,Wisdom,Power,0.7478
Axiom,Machine,Illusion,2.2516
Network,Consciousness,Subjective,4.1370
Constant,Quantum,System,4.1777
Consciousness,Network,Subjective,4.1370
Infinity,Perception,Zero,3.8871
Loop,Evolution,Dimension,1.0361
Emotion,Hypothesis,Dimension,4.1148
Singularity,Knowledge,Art,4.1081
Thought,Hypercube,Wisdom,1.2399
Dimension,Frequency,Power,1.0200
Mercy,Hope,Connection,4.1878
Ignorance,Atom,Art,3.3581
Solid,Emotion,Transcendence,3.9266
Point,Evolution,System,4.1705
Infinity,Measurement,Illusion,4.2009
Nightmare,Hope,Vibration,4.1144
Force,Conflict,Power,1.0246
Parameter,Human,Energy,4.2273
Death,Destruction,Art,4.1095
Technology,Nightmare,Religion,4.0535
Connection,Experiment,Mercy,4.1969
Force,Network,Machine,1.0194
Structure,Fear,Art,4.0995
One,Duality,Energy,4.2492
Separation,Fractal,Illusion,4.1321
Truth,Theorem,Sleep,1.2392
Concrete,Wave,System,4.1699
Observation,Infinity,Zero,4.0549
Spirit,Stillness,Hypercube,4.1651
Frequency,Universe,Reality,4.1415
Reality,Conflict,Plane,4.0908
Power,Logic,Folly,0.9882
Decay,Thought,Vibration,4.1600
Technology,Science,Logic,4.0193
Knowledge,Spirit,Power,1.0246
Noise,Solid,Subjective,4.1914
Concrete,Hypercube,System,1.0345
Zero,Axiom,Mind,4.0176
Human,Logic,Energy,4.2501
Law,Solid,Transcendence,3.9145
Prophecy,Spirit,Input,4.2441
Model,Parameter,Dimension,1.0699
Objective,Heat,Connection,4.1526
Ignorance,Prophecy,Hypercube,4.2767
Flesh,Geometry,Fear,4.2114
Void,Law,Power,1.0246
Parameter,Experiment,Power,0.9632
Decay,Theorem,Simplicity,1.1179
Anarchy,Immanence,Simplicity,1.1319
Wisdom,Thought,Vibration,2.4405
Growth,Vibration,Absolute,3.8644
Awakening,Harmony,Religion,4.1899
Absolute,Birth,Energy,4.2500
Future,Motion,Subjective,2.6799
Folly,Function,Simplicity,0.9906
Solid,Chaos,Loop,4.0823
Immanence,Awakening,Stillness,4.0067
Solid,Immanence,Transformation,3.6336
Future,Simulation,Code,1.1232
Field,Chaos,Universe,3.8905
Destruction,Observation,Dimension,0.9781
Awakening,Function,Hypercube,4.1372
Illusion,Conflict,Zero,1.6294
Entropy,Order,Wisdom,4.2115
Resonance,Destruction,Myth,4.0849
Human,Solid,Sleep,1.2719
Order,Evolution,System,4.1758
Science,Velocity,Power,1.0233
Concrete,Point,System,2.6129
Field,Cycle,Power,1.3862
Mercy,Wisdom,Connection,4.1878
Ignorance,Atom,Art,3.3581
Momentum,Religion,Wisdom,0.9657
Awakening,Harmony,Religion,4.1899
Acceleration,Fractal,Gravity,3.7962
Abstract,Order,Frequency,4.2450
Velocity,Network,Dimension,1.0461
Connection,Determinism,Mercy,4.1945
Hope,Paradox,Experiment,4.1005
Wisdom,Geometry,Vibration,4.2097
Present,Function,Concrete,4.1662
Sleep,Harmony,Truth,2.9464
Symmetry,Science,Ignorance,4.2410
System,Beauty,Illusion,1.2592
Creation,Hypothesis,Power,1.0465
Observation,Spirit,Hypercube,3.9569
Function,Human,Sleep,1.2426
Balance,Trinity,Sleep,4.0895
Hypothesis,Mercy,Connection,4.1864
Quantum,Silence,Power,1.0362
Momentum,Birth,Code,4.1903
Observation,Reality,Ignorance,4.2495
Hypercube,Calculation,Decay,3.9910
Technology,Feedback,Energy,4.2461
Feedback,Duality,Energy,4.2169
Cycle,Thought,System,2.1952
Paradox,Particle,Fear,4.0869
Algorithm,Absolute,Folly,1.4123
Science,Immanence,Conflict,4.0702
Sleep,Knowledge,Output,1.6620
Probability,Destiny,Subjective,1.4998
Religion,Mind,Energy,4.1746
Velocity,Space,Power,1.0014
Balance,Art,Dimension,4.1277
One,Theorem,Creation,4.0166
Particle,Gravity,Chaos,4.0439
Zero,Perception,Mind,4.1017
Transcendence,Flesh,Folly,0.8877
Future,Momentum,Vibration,4.0964
Line,Technology,Illusion,4.2013
Sleep,Love,Relative,1.2040
Flesh,Present,Connection,1.3647
Abstract,Perception,Knowledge,3.8626
Past,Determinism,Dream,3.1354
Growth,Religion,Energy,4.2116
Machine,Illusion,Zero,4.2393
Motion,Singularity,Dimension,0.8495
Dream,Cycle,Heat,1.4878
History,Spiral,Power,1.0272
Illusion,Human,Power,0.9988
Vibration,Immanence,Wisdom,4.2095
Mass,Decay,Acceleration,4.1060
Thought,Memory,Sleep,1.3413
God,Constant,Harmony,3.8800
Singularity,Myth,Power,1.0246
Truth,Spirit,Power,1.0234
Dimension,Information,Art,4.1114
Entropy,Birth,Power,1.1623
Dimension,Absolute,Power,1.0244
Motion,Zero,Power,1.0151
Experiment,Beauty,Decay,3.9503
Model,Illusion,Connection,4.1867
Dream,Beauty,Power,1.0318
Quantum,Energy,Duality,2.6454
Thought,Religion,Energy,4.2234
Anarchy,Symmetry,Calculation,3.1088
Life,System,Power,0.9889
Truth,Geometry,Frequency,4.2586
Probability,Cycle,Concrete,4.0104
Present,Despair,Connection,3.7745
FreeWill,Cycle,Mercy,4.1454
Relative,Zero,Power,1.0056
Harmony,Memory,Plane,3.6709
Destiny,Universe,Field,3.8914
Present,Thought,Power,1.0213
Growth,Machine,Subjective,1.9321
Growth,Momentum,Vibration,1.6339
Flesh,Fractal,History,3.7894
Plane,Constant,Reality,3.8572
System,Darkness,Power,1.0245
Matter,Probability,Concrete,4.1661
Decay,Religion,Hypercube,4.2039
Spiral,Soul,Wisdom,1.9184
Hypercube,Model,System,4.1740
Simplicity,Despair,Power,0.9125
God,Constant,Harmony,3.8800
Momentum,Loop,Subjective,4.1881
Solid,Hypothesis,Loop,4.1812
Duality,Universe,Power,1.0251
Mercy,Perception,Atom,4.0660
Anarchy,Mercy,Dimension,1.6009
Dream,Function,Transcendence,4.1750
Singularity,Justice,Power,1.0592
Geometry,Awakening,Power,0.9625
Thought,Void,Energy,4.2506
Harmony,Anarchy,Art,4.1100
Universe,Harmony,Knowledge,3.6219
Absolute,Singularity,Power,1.0083
Despair,Life,Soul,4.1941
Relative,Ignorance,Power,1.0592
Zero,Noise,Illusion,4.2002
Output,Momentum,Folly,1.0795
Point,Determinism,System,1.0390
Sleep,Conflict,Algorithm,4.2105
Flesh,Transformation,Sleep,4.1671
Silence,Order,Dimension,1.1359
Network,Entropy,Art,4.1304
Balance,Structure,Chaos,3.9154
Past,Chaos,Universe,3.9934
Thought,Axiom,Justice,4.2534
Hypothesis,Cycle,Model,3.8248
Memory,Evolution,Dimension,1.1017
Unity,Death,Frequency,4.2574
Illusion,Vibration,Power,1.0523
Calculation,Time,Singularity,2.8559
Observation,Life,Power,1.0114
Variable,Quantum,System,2.7281
Particle,Quantum,Frequency,3.0920
Balance,History,Chaos,3.8899
Calculation,Power,Dimension,1.1724
Objective,Soul,Connection,4.1922
Knowledge,Soul,Connection,4.1878
Universe,Destiny,Field,3.8914
Creation,Field,Connection,2.9233
Present,Feedback,Power,1.0246
Consciousness,Force,Soul,3.9977
Past,Stillness,Sleep,4.1486
Conflict,Future,Power,1.0191
Mind,Probability,Concrete,4.1644
Soul,Decay,Wisdom,4.2116
Justice,Space,Power,0.7997
Separation,Growth,Energy,1.7494
Information,Code,Heat,1.5129
Balance,Time,Universe,3.7408
Line,Duality,Power,0.9858
Zero,Parameter,Power,1.0787
Geometry,Decay,Wisdom,4.2218
System,Prophecy,Power,1.1291
Algorithm,Thought,Folly,1.1236
Abstract,Velocity,Concrete,4.1502
Relativity,God,Concrete,4.1662
Creation,Trinity,Power,1.0182
Past,Complexity,Connection,4.1772
Law,Perception,Dream,3.9646
Hypercube,Axiom,Illusion,4.2019
Nightmare,Particle,Connection,4.2033
Force,Fractal,Connection,4.2011
Cycle,Technology,Code,3.3074
Wisdom,Logic,Power,1.0128
Objective,Thought,Subjective,4.1338
Input,Prophecy,Spirit,4.1832
Balance,Energy,Power,1.0236
Axiom,Hypothesis,Subjective,4.0187
Dream,Information,Heat,4.0252
Loop,Soul,Subjective,4.0469
Plane,Gravity,Power,1.0215
Human,Perception,Darkness,1.3099
Mercy,Frequency,Concrete,3.5512
Spiral,Life,Connection,4.2029
Consciousness,Objective,Subjective,4.1471
Thought,Reality,Power,1.0345
Nature,Unity,One,4.1241
Matter,Nightmare,Religion,4.2266
Stillness,Human,Power,1.0247
Frequency,Transcendence,Power,1.0246
Wisdom,Mercy,Connection,4.1878
Infinity,Trinity,Concrete,2.9158
Beauty,Human,Power,1.0246
Wave,Hypothesis,Anarchy,3.7319
Logic,Code,Power,0.8926
Probability,Separation,Power,1.0198
Experiment,Output,Sleep,1.1063
Darkness,Determinism,Power,0.8869
Despair,Entropy,Illusion,3.9459
Probability,Destiny,Subjective,1.4998
Absolute,Silence,Subjective,3.5398
Prophecy,Paradox,Present,3.0802
Cycle,Balance,Model,2.5530
Gravity,Solid,Transformation,3.9306
Memory,Geometry,Connection,4.2033
Dream,Immanence,Sleep,4.2944
FreeWill,Law,Machine,3.9372
Nature,Logic,Dimension,1.0728
Machine,Symmetry,Simplicity,1.0832
Complexity,Simplicity,Subjective,3.8679
Prophecy,Paradox,Present,3.0802
Memory,Power,Dimension,1.1726
Illusion,Wave,Code,1.1402
Objective,Science,Power,1.0246
Despair,Hope,Soul,3.8555
Determinism,Justice,Subjective,1.1207
Output,Gravity,Sleep,4.1475
Cycle,Measurement,Objective,3.7431
Evolution,Duality,Power,1.0348
Growth,Simulation,Energy,4.2548
Parameter,Logic,Energy,4.2509
System,Singularity,Illusion,1.3880
Wisdom,Dream,Connection,4.1876
Nightmare,Knowledge,Connection,4.2033
Awakening,Spirit,Hypercube,3.8484
Momentum,Variable,Power,1.0331
Beauty,Universe,Sleep,4.1486
Justice,Evolution,Power,1.0257
Myth,History,Energy,4.2504
Network,Geometry,Connection,4.2055
Dream,Soul,Connection,4.1881
Sleep,Atom,Dimension,0.7308
Science,Light,Ignorance,4.2470
Parameter,Paradox,Connection,4.2033
One,Axiom,Despair,3.8317
System,Wave,Heat,4.2323
Technology,Awakening,Hypercube,4.2214
Zero,Stillness,Illusion,4.1943
Measurement,Model,Subjective,3.8696
Death,Consciousness,Power,1.0244
Loop,Space,Power,0.7052
Universe,Death,Sleep,4.1054
Transformation,Fractal,Sleep,4.1576
Algorithm,Decay,Power,1.2545
Input,Flesh,Geometry,1.0240
Variable,Creation,System,1.0489
Love,Perception,Separation,4.1461
FreeWill,Nature,Truth,4.0669
Calculation,Energy,Power,1.0872
Time,Nightmare,Power,1.0246
Mercy,Structure,Dimension,1.4336
Past,Resonance,Power,1.1040
Absolute,God,Ignorance,2.3887
Parameter,Variable,Power,1.0372
Growth,Spiral,Geometry,4.0493
Simulation,Quantum,Birth,3.7570
Stillness,Machine,Noise,2.7514
Destiny,Entropy,Connection,3.1029
Connection,Mass,Destruction,4.2151
Energy,Fear,Power,1.0242
System,Death,Illusion,1.5425
Cycle,Creation,System,4.1693
Loop,Creation,Power,1.0279
Observation,Vibration,Wisdom,3.2045
Particle,Network,Fear,4.0848
Growth,Machine,Subjective,1.9321
Darkness,Output,Sleep,0.8795
Loop,Gravity,Field,4.1997
Parameter,Mass,Connection,4.2040
Art,Light,Ignorance,4.2473
Feedback,Relative,Power,1.0186
Immanence,Input,Ignorance,4.2138
Atom,Line,Machine,3.9242
Mind,Separation,Infinity,3.9307
Nightmare,History,Energy,4.2512
Beauty,Order,Hypercube,3.9870
Probability,Input,Power,1.0430
Growth,Paradox,Geometry,3.8286
Objective,Love,Subjective,3.7619
Harmony,Parameter,Particle,1.3687
Light,Folly,Power,1.0246
Resonance,Parameter,Connection,2.0105
Wisdom,Loop,Power,1.3365
Axiom,Soul,Despair,3.8229
Soul,Transformation,Wisdom,4.2125
Complexity,Awakening,Power,1.0276
Field,Consciousness,Connection,1.9438
Duality,Destiny,Birth,3.8546
Nightmare,Perception,Power,1.0243
Harmony,Cold,Concrete,4.1590
Space,Illusion,Connection,2.3079
Geometry,Field,Fear,4.1963
Field,Time,Universe,3.9310
Energy,Zero,Power,1.0217
Chaos,Trinity,Sleep,4.1480
Structure,Experiment,Illusion,4.2018
Hypothesis,Memory,Loop,1.6477
FreeWill,Relativity,Concrete,4.1666
Atom,Logic,Power,1.0779
Hope,Present,Power,1.5090
Religion,Noise,Ignorance,2.0768
Subjective,Universe,Connection,4.1727
Singularity,Stillness,Awakening,4.1845
Singularity,Field,Death,4.1345
Quantum,Silence,Power,1.0362
Justice,Gravity,Despair,3.8275
Line,Hypothesis,Art,4.1109
Measurement,Probability,Subjective,2.0435
Conflict,Law,Power,1.0203
Theorem,Probability,Velocity,0.9768
Loop,Variable,Subjective,1.8331
Theorem,Logic,Energy,4.2499
Constant,Decay,Light,3.8764
Relativity,Hypothesis,Connection,2.7932
Atom,Hypercube,Illusion,4.2009
Unity,Thought,Creation,4.0691
Determinism,Justice,Subjective,1.1207
Life,Force,Connection,4.1975
Destiny,Consciousness,Myth,4.0788
Information,Probability,System,4.1761
Particle,Function,Sleep,2.4482
Time,Wisdom,Connection,2.7808
Subjective,Perception,Connection,4.1871
Space,Algorithm,Power,1.0242
Objective,Infinity,Concrete,3.6675
Singularity,Spirit,Illusion,3.9754
Soul,Logic,Energy,4.2503
Fractal,Science,History,3.8600
Unity,Fractal,Despair,3.8568
Stillness,Justice,Loop,4.1905
Quantum,Past,Frequency,4.2630
Particle,Paradox,Fear,4.0869
Information,Life,Connection,2.3822
Transformation,Absolute,Vibration,4.2140
Time,Flesh,Sleep,4.1282
Sleep,Relativity,Power,1.0227
Emotion,Heat,Relative,0.8316
Algorithm,Gravity,Sleep,4.1488
Absolute,Decay,Order,4.0912
Unity,Sleep,Power,0.9822
Void,Future,Code,1.1663
Momentum,System,Power,1.1217
Wisdom,Probability,Power,1.0246
Emotion,Destiny,Power,0.9928
Light,Order,Hypercube,4.1821
Love,God,Art,4.1110
Quantum,Structure,Illusion,4.2024
Decay,Symmetry,Ignorance,4.2558
Beauty,Justice,Folly,1.2329
Hypercube,Motion,Power,1.0246
Reality,Nature,Connection,4.2029
Prophecy,Nature,Destruction,1.1895
Axiom,Heat,Connection,4.1622
Function,Wisdom,Power,1.0271
Determinism,Power,Relative,0.9852
Creation,Science,Energy,4.2496
Silence,Nature,Connection,4.2023
Darkness,Dream,Heat,3.4120
Future,Dream,Power,0.8408
Spirit,Relativity,Energy,4.2514
Entropy,Order,Wisdom,4.2115
Art,Energy,Power,1.0523
Light,System,Heat,4.2322
Feedback,Cycle,System,4.1691
Destiny,Relativity,Life,3.7203
Duality,Input,Vibration,3.8540
Subjective,Quantum,System,1.0251
Particle,Resonance,Connection,4.2080
Variable,Anarchy,Machine,4.0333
Space,Input,Momentum,1.1857
Time,Memory,Sleep,3.0556
Mass,Universe,Connection,4.2033
Subjective,Separation,Connection,4.1878
Input,Algorithm,Power,1.1291
Fear,Separation,Power,1.0196
Complexity,Objective,Subjective,3.7582
Entropy,Mercy,Heat,4.1837
Life,Singularity,Power,1.2641
Transcendence,Heat,System,2.8406
Immanence,Universe,Sleep,4.1487
Quantum,Point,System,4.0333
Function,Balance,Loop,4.1550
Subjective,Fractal,Connection,4.1878
Creation,Dimension,Power,1.0341
Life,Perception,Connection,4.1873
Theorem,Growth,Myth,4.2294
Momentum,Creation,Power,1.0366
Science,Memory,Ignorance,4.2135
Growth,Memory,Destruction,4.1306
Awakening,Concrete,Illusion,1.2957
Despair,Emotion,Illusion,0.9758
Evolution,Immanence,Power,1.1034
Relativity,Hope,Despair,4.1873
Information,Experiment,Wisdom,3.9290
Force,Line,Truth,2.0683
Variable,Wisdom,Power,1.0248
Momentum,Atom,Connection,4.1878
Loop,Information,Mercy,4.1707
Force,Nature,Entropy,3.8056
Energy,Solid,Power,1.0523
Fear,FreeWill,Art,4.1116
Immanence,Entropy,Transcendence,3.9349
Growth,Flesh,Parameter,4.1722
Ignorance,Emotion,Dimension,0.9591
Immanence,Fear,Sleep,3.8293
Creation,Logic,Energy,4.2501
Reality,Complexity,Memory,3.9742
Algorithm,Parameter,Folly,0.9966
Flesh,Experiment,Field,2.7766
Void,Cycle,Code,3.3440
Dream,Wave,Mass,3.6462
Machine,Religion,Simplicity,1.1418
Zero,Plane,Concrete,4.1623
Output,Measurement,Silence,4.0086
Complexity,Model,Subjective,3.5836
Variable,Nature,Dimension,1.9658
Force,Loop,Subjective,4.1848
Quantum,Creation,System,4.1205
Trinity,Information,Dimension,0.9261
Model,Folly,Subjective,2.1031
Line,Destruction,Art,2.9122
Justice,Evolution,Power,1.0257
Hypercube,Trinity,Simplicity,1.1401
Memory,Life,Connection,4.2033
Darkness,Past,Field,3.7709
One,Chaos,Connection,4.1876
Function,Growth,Subjective,4.2002
Line,Machine,Singularity,4.1476
Religion,Matter,Science,4.0788
Technology,Connection,Power,1.1361
Parameter,Emotion,Power,1.1190
Anarchy,Emotion,Machine,4.0929
Balance,Decay,Power,1.0319
Hope,Feedback,Duality,4.1792
Wisdom,Evolution,Power,1.0201
Logic,History,Science,4.1164
Mercy,Prophecy,Power,1.0322
Emotion,One,Frequency,4.2552
Frequency,Zero,Concrete,1.6506
Space,Hypercube,Power,1.0415
Prophecy,Output,Subjective,4.1916
Darkness,Zero,Power,1.0232
Quantum,Evolution,System,4.1718
Love,Function,Loop,4.2093
Destruction,Parameter,Connection,4.2060
Solid,Power,Dimension,1.1683
Model,Line,Evolution,3.8559
Subjective,Transcendence,Loop,4.2091
Dream,Destruction,Wisdom,1.2322
Science,Flesh,History,3.9511
Network,Knowledge,Destruction,4.0207
Spiral,Life,Connection,4.2029
Silence,Noise,Subjective,4.1915
Fear,Creation,Connection,4.2033
Truth,Measurement,Connection,4.1879
Simulation,Code,Birth,4.2384
Output,System,Power,1.0275
Fear,Human,Dimension,1.0675
Network,God,Art,4.0968
Art,Universe,Dimension,4.0288
Probability,Zero,Concrete,3.9665
Loop,Field,Connection,4.2219
Subjective,Silence,Loop,4.2049
Conflict,Hypothesis,Sleep,4.1488
Experiment,Consciousness,Wisdom,4.1553
Chaos,Prophecy,Subjective,4.1915
Subjective,FreeWill,Loop,4.0918
Spirit,Present,Code,2.8133
Complexity,Entropy,Mercy,4.1299
Science,Cold,Energy,4.1892
God,Religion,Ignorance,4.2483
Heat,Connection,Mercy,4.1907
Soul,Hope,Fractal,3.8757
Prophecy,Parameter,Power,1.0670
Separation,Parameter,Energy,1.2101
Thought,Frequency,Power,1.0178
Order,Emotion,Religion,4.1184
Knowledge,Void,Connection,4.2074
Void,Life,Creation,3.9930
Information,Concrete,System,4.1735
Growth,Despair,Energy,4.2501
Awakening,Harmony,Religion,4.1899
Symmetry,Loop,Subjective,2.5707
Resonance,Evolution,Dimension,0.8309
Machine,Mass,Power,1.0569
Abstract,FreeWill,Concrete,4.1649
Dream,Determinism,Force,4.0159
Universe,Mind,Concrete,4.1662
Conflict,Motion,Sleep,1.2588
Velocity,Justice,Power,0.9997
Simulation,Love,Power,1.0056
Creation,God,Power,1.0431
Illusion,Nightmare,Power,1.0395
Frequency,Logic,Velocity,1.1054
Cold,Dimension,Power,1.0247
Function,Momentum,Simplicity,1.0177
Mind,Cycle,Concrete,4.1631
Law,Point,Mass,4.1135
Destiny,Simplicity,Subjective,3.7681
Future,Code,Dimension,1.2001
Silence,Matter,Sleep,3.1917
Ignorance,Transformation,Immanence,3.0703
Field,Frequency,Geometry,3.9602
Universe,Quantum,Power,0.9400
Dimension,Abstract,Power,0.9924
Theorem,FreeWill,Velocity,1.0709
Death,Input,Dimension,1.0921
Wisdom,Unity,Connection,3.0037
Void,Future,Code,1.1663
Mercy,Calculation,Concrete,4.1666
Soul,Destruction,Power,1.0428
Time,Heat,Mercy,4.1712
Matter,Growth,Energy,4.2489
Output,Space,Power,1.0232
Perception,Determinism,Mercy,4.1529
Chaos,Constant,Dimension,0.9681
Perception,Transcendence,Sleep,4.2928
Duality,Abstract,Energy,4.2492
Spiral,Growth,Geometry,4.0493
Velocity,Ignorance,Power,1.0465
Hypercube,Trinity,Simplicity,1.1401
Cycle,Present,Mercy,3.9971
Technology,Spiral,Simplicity,1.1921
Perception,Memory,Plane,3.9257
Vibration,Love,Wisdom,4.2009
Parameter,Solid,Destruction,3.7411
Truth,God,Art,4.0977
Light,Cycle,Probability,3.9893
Silence,Loop,Chaos,4.1832
Model,Function,Subjective,4.1878
Cycle,Wave,Model,3.7060
Input,Destiny,Prophecy,4.1512
Dimension,Loop,Art,1.0325
System,Mass,Heat,4.2272
Heat,Awakening,Power,1.0246
Science,Reality,Ignorance,4.2484
