Concept_A,Concept_B,Emergent_Meaning,Resonance_Distance
Entropy,Beauty,Noise,2.0962
Chaos,Life,Power,0.7531
Space,Matter,Power,1.1011
Energy,Fractal,Death,2.3485
Chaos,Entropy,Power,1.9651
Entropy,Darkness,Power,0.7358
Power,Energy,Space,1.5816
Power,Soul,Chaos,1.6612
Gravity,Mind,Death,2.8915
Energy,Light,Power,0.7707
Soul,Entropy,Truth,3.3272
Light,Matter,Power,4.3255
Darkness,Power,Space,1.4405
Matter,Mind,Truth,4.0707
Beauty,Chaos,Silence,2.6342
Logic,Light,Power,3.1205
Entropy,Matter,Power,1.0246
Energy,Beauty,Power,0.9117
Energy,Mind,Truth,4.1981
Noise,Space,Power,1.0252
Mind,Void,Truth,4.3523
Time,Space,Power,0.7401
Soul,Life,Truth,4.1859
Energy,Void,Entropy,3.9529
Silence,Entropy,Power,1.0313
Silence,Noise,Chaos,1.9672
Logic,Light,Power,3.1205
Energy,Chaos,Power,1.0250
Order,Power,Energy,1.4731
Death,Energy,Power,1.2735
Space,Logic,Power,1.1225
Gravity,Darkness,Power,0.9610
Noise,Geometry,Power,1.0246
Darkness,Void,Noise,1.3777
Silence,Soul,Power,1.2595
Fractal,Death,Beauty,3.5782
Logic,Light,Power,3.1205
Light,Fractal,Power,1.0272
Geometry,Order,Noise,1.6323
Time,Matter,Silence,1.3840
Darkness,Silence,Power,1.0949
Fractal,Energy,Death,2.3485
Truth,Geometry,Noise,1.4314
Entropy,Soul,Truth,3.3272
Noise,Time,Death,1.9642
Entropy,Chaos,Power,1.9651
Space,Beauty,Power,1.0820
Power,Life,Chaos,1.5787
Silence,Chaos,Beauty,4.2702
Power,Order,Energy,1.4731
Silence,Death,Chaos,3.1617
Order,Void,Chaos,2.6251
Beauty,Soul,Power,1.5116
Mind,Time,Noise,2.0089
Power,Light,Energy,1.3939
Fractal,Mind,Death,3.9623
Geometry,Fractal,Power,1.1557
Mind,Matter,Truth,4.0707
Order,Time,Noise,1.4427
Light,Chaos,Power,1.0247
Matter,Gravity,Death,1.3929
Noise,Void,Power,0.9708
Death,Matter,Power,1.3059
Truth,Life,Power,1.1495
Logic,Void,Death,4.1526
Light,Time,Power,1.0485
Silence,Energy,Power,1.0289
Fractal,Noise,Death,2.2315
Life,Space,Power,0.9829
Life,Beauty,Power,1.0362
Truth,Mind,Power,1.4494
Death,Silence,Chaos,3.1617
Chaos,Gravity,Fractal,4.0090
Soul,Matter,Truth,4.3716
Light,Matter,Power,4.3255
Death,Soul,Power,0.9767
Power,Truth,Space,1.3902
Logic,Chaos,Silence,2.4779
Darkness,Void,Noise,1.3777
Light,Power,Energy,1.3939
Time,Life,Power,0.9508
Mind,Death,Noise,2.4772
Truth,Space,Power,0.8807
Entropy,Geometry,Light,1.7234
Light,Time,Power,1.0485
Fractal,Gravity,Time,3.7406
Energy,Silence,Power,1.0289
Silence,Fractal,Chaos,4.1523
Death,Light,Power,1.0841
Entropy,Silence,Power,1.0313
Order,Fractal,Noise,1.3934
Darkness,Chaos,Power,0.8423
Fractal,Light,Power,1.0272
Space,Matter,Power,1.1011
Light,Chaos,Power,1.0247
Truth,Entropy,Death,4.3601
Truth,Mind,Power,1.4494
Darkness,Energy,Power,1.3198
Power,Space,Darkness,1.4353
Power,Entropy,Space,1.3973
Soul,Truth,Power,1.1040
Truth,Matter,Power,1.2191
Darkness,Order,Noise,1.5727
Soul,Geometry,Power,1.4558
Gravity,Order,Noise,1.5942
Space,Entropy,Power,0.9201
Space,Geometry,Power,1.0623
Truth,Beauty,Power,1.1380
Energy,Power,Space,1.5816
Time,Void,Chaos,2.2649
Darkness,Soul,Power,1.1775
Power,Darkness,Space,1.4405
Silence,Space,Power,1.0063
Fractal,Energy,Death,2.3485
Geometry,Matter,Power,1.0253
Light,Entropy,Power,1.0597
Silence,Order,Power,1.0099
Fractal,Power,Chaos,1.5892
Time,Life,Power,0.9508
Void,Chaos,Silence,1.9427
Void,Matter,Time,4.2608
Chaos,Soul,Power,3.3116
Life,Darkness,Power,1.5189
Mind,Truth,Power,1.4494
Energy,Matter,Truth,3.2528
Truth,Beauty,Power,1.1380
Fractal,Energy,Death,2.3485
Time,Soul,Power,2.5748
Gravity,Truth,Power,1.3611
Time,Noise,Death,1.9642
Matter,Death,Power,1.3059
Soul,Chaos,Power,3.3116
Geometry,Truth,Noise,1.4314
Darkness,Entropy,Power,0.7358
Geometry,Noise,Power,1.0246
Beauty,Void,Chaos,1.4597
Darkness,Fractal,Power,1.1389
Geometry,Void,Noise,2.4969
Void,Energy,Entropy,3.9529
Matter,Light,Power,4.3255
Chaos,Matter,Silence,1.3590
Fractal,Noise,Death,2.2315
Noise,Beauty,Death,2.0715
Order,Gravity,Noise,1.5942
Truth,Mind,Power,1.4494
Space,Life,Power,0.9829
Chaos,Death,Silence,3.1158
Order,Silence,Power,1.0099
Geometry,Chaos,Power,1.0226
Light,Order,Chaos,4.1423
Fractal,Chaos,Gravity,3.9789
Power,Order,Energy,1.4731
Gravity,Power,Soul,1.8128
Entropy,Silence,Power,1.0313
Energy,Light,Power,0.7707
Life,Soul,Truth,4.1859
Entropy,Space,Power,0.9201
Darkness,Life,Power,1.5189
Time,Void,Chaos,2.2649
Darkness,Truth,Silence,1.4276
Fractal,Entropy,Gravity,3.3061
Noise,Gravity,Death,2.7163
Death,Beauty,Gravity,2.5503
Death,Energy,Power,1.2735
Light,Soul,Power,1.0254
Mind,Logic,Truth,4.2502
Mind,Chaos,Power,1.0267
Gravity,Geometry,Power,1.2557
Space,Entropy,Power,0.9201
Energy,Power,Space,1.5816
Noise,Order,Power,0.7099
Truth,Time,Entropy,4.3426
Noise,Darkness,Power,1.0237
Time,Silence,Chaos,4.3078
Life,Geometry,Noise,2.4273
Darkness,Mind,Power,1.5329
Beauty,Death,Gravity,2.5503
Space,Life,Power,0.9829
Noise,Fractal,Death,2.2315
Chaos,Time,Gravity,4.1501
Energy,Space,Power,1.0709
Energy,Chaos,Power,1.0250
Soul,Entropy,Truth,3.3272
Order,Silence,Power,1.0099
Matter,Gravity,Death,1.3929
Darkness,Fractal,Power,1.1389
Life,Time,Power,0.9508
Matter,Logic,Time,4.0450
Death,Space,Power,1.0233
Geometry,Void,Noise,2.4969
Truth,Void,Noise,1.7162
Time,Soul,Power,2.5748
Fractal,Void,Death,4.0722
Energy,Fractal,Death,2.3485
Fractal,Void,Death,4.0722
Geometry,Chaos,Power,1.0226
Noise,Fractal,Death,2.2315
Order,Gravity,Noise,1.5942
Time,Light,Power,1.0485
Beauty,Gravity,Death,3.5245
Power,Time,Space,1.3780
Beauty,Matter,Chaos,2.6797
Geometry,Logic,Power,1.0082
Space,Fractal,Power,0.7837
Life,Space,Power,0.9829
Logic,Void,Death,4.1526
Power,Mind,Geometry,1.6173
Order,Beauty,Power,2.9475
Death,Space,Power,1.0233
Soul,Entropy,Truth,3.3272
Geometry,Fractal,Power,1.1557
Light,Life,Power,1.0357
Energy,Logic,Truth,3.8355
Power,Beauty,Energy,1.3926
Entropy,Life,Power,0.7669
Power,Entropy,Space,1.3973
Void,Death,Silence,1.8691
Death,Void,Silence,1.8691
Geometry,Matter,Power,1.0253
Fractal,Silence,Chaos,4.1523
Fractal,Order,Noise,1.3934
Geometry,Silence,Noise,1.5584
Entropy,Matter,Power,1.0246
Time,Matter,Silence,1.3840
Entropy,Death,Time,4.1228
Mind,Darkness,Power,1.5329
Mind,Power,Geometry,1.6173
Gravity,Beauty,Death,3.5245
Time,Light,Power,1.0485
Time,Power,Space,1.3780
Truth,Space,Power,0.8807
Space,Energy,Power,1.0709
Soul,Power,Chaos,1.6612
Logic,Darkness,Power,1.5036
Light,Darkness,Power,1.0422
Power,Geometry,Energy,1.4171
Gravity,Life,Chaos,1.8313
Void,Energy,Entropy,3.9529
Light,Space,Power,1.0853
Energy,Fractal,Death,2.3485
Gravity,Silence,Chaos,4.2996
Truth,Beauty,Power,1.1380
Power,Silence,Energy,1.3954
Entropy,Beauty,Noise,2.0962
Order,Noise,Power,0.7099
Mind,Truth,Power,1.4494
Logic,Entropy,Power,1.0247
Void,Silence,Death,2.0930
Darkness,Void,Noise,1.3777
Fractal,Time,Gravity,3.7435
Darkness,Order,Noise,1.5727
Void,Time,Chaos,2.2649
Entropy,Energy,Power,1.0467
Logic,Void,Death,4.1526
Beauty,Fractal,Death,2.9919
Darkness,Noise,Power,1.0237
Beauty,Life,Power,1.0362
Truth,Entropy,Death,4.3601
Logic,Noise,Power,0.8736
Logic,Light,Power,3.1205
Entropy,Light,Power,1.0597
Order,Life,Noise,1.0042
Matter,Logic,Time,4.0450
Order,Matter,Power,4.3348
Noise,Fractal,Death,2.2315
Logic,Fractal,Death,3.9505
Light,Geometry,Power,1.0509
Darkness,Energy,Power,1.3198
Light,Life,Power,1.0357
Energy,Chaos,Power,1.0250
Space,Time,Power,0.7401
Geometry,Soul,Power,1.4558
Mind,Power,Geometry,1.6173
Power,Logic,Geometry,1.5978
Silence,Light,Power,1.0243
Geometry,Logic,Power,1.0082
Space,Mind,Power,1.1365
Light,Gravity,Power,1.0245
Void,Gravity,Chaos,2.2528
Noise,Darkness,Power,1.0237
Soul,Death,Power,0.9767
Beauty,Entropy,Noise,2.0962
Gravity,Space,Power,0.8553
Logic,Beauty,Chaos,1.9535
Life,Death,Power,1.3842
Geometry,Gravity,Power,1.2557
Silence,Time,Chaos,4.3078
Fractal,Chaos,Gravity,3.9789
Energy,Chaos,Power,1.0250
Chaos,Space,Power,0.7193
Power,Energy,Space,1.5816
Mind,Time,Noise,2.0089
Time,Truth,Entropy,4.3426
Entropy,Fractal,Gravity,3.3061
Truth,Order,Silence,2.2738
Matter,Gravity,Death,1.3929
Fractal,Order,Noise,1.3934
Chaos,Light,Power,1.0247
Death,Power,Energy,1.4392
Soul,Time,Power,2.5748
Void,Logic,Death,4.1526
Truth,Gravity,Power,1.3611
Void,Darkness,Noise,1.3777
Time,Matter,Silence,1.3840
Darkness,Life,Power,1.5189
Gravity,Entropy,Time,4.2145
Energy,Logic,Truth,3.8355
Matter,Fractal,Death,3.1484
Chaos,Light,Power,1.0247
Death,Life,Power,1.3842
Fractal,Gravity,Time,3.7406
Void,Fractal,Death,4.0722
Void,Order,Chaos,2.6251
Fractal,Gravity,Time,3.7406
Void,Chaos,Silence,1.9427
Power,Noise,Energy,1.3907
Mind,Life,Truth,4.3713
Power,Order,Energy,1.4731
Darkness,Power,Space,1.4405
Darkness,Time,Power,1.1298
Silence,Fractal,Chaos,4.1523
Light,Death,Power,1.0841
Gravity,Geometry,Power,1.2557
Time,Death,Beauty,4.2028
Energy,Light,Power,0.7707
Soul,Mind,Truth,4.3714
Darkness,Gravity,Power,0.9610
Matter,Mind,Truth,4.0707
Geometry,Chaos,Power,1.0226
Life,Death,Power,1.3842
Energy,Light,Power,0.7707
Light,Space,Power,1.0853
Light,Geometry,Power,1.0509
Chaos,Power,Space,1.4065
Beauty,Death,Gravity,2.5503
Darkness,Light,Power,1.0422
Space,Death,Power,1.0233
Beauty,Space,Power,1.0820
Soul,Chaos,Power,3.3116
Time,Beauty,Death,3.1961
Gravity,Death,Beauty,3.9932
Space,Soul,Power,0.9293
Void,Chaos,Silence,1.9427
Mind,Space,Power,1.1365
Space,Geometry,Power,1.0623
Geometry,Gravity,Power,1.2557
Silence,Logic,Chaos,2.5902
Energy,Light,Power,0.7707
Mind,Silence,Power,1.0384
Darkness,Truth,Silence,1.4276
Fractal,Light,Power,1.0272
Time,Light,Power,1.0485
Death,Soul,Power,0.9767
Silence,Life,Noise,1.5748
Mind,Life,Truth,4.3713
Chaos,Silence,Beauty,4.2702
Beauty,Truth,Power,1.1380
Fractal,Soul,Truth,4.0839
Geometry,Life,Noise,2.4273
Silence,Power,Energy,1.3954
Matter,Energy,Truth,3.2528
Mind,Darkness,Power,1.5329
Space,Soul,Power,0.9293
Matter,Power,Geometry,1.5908
Soul,Time,Power,2.5748
Beauty,Gravity,Death,3.5245
Truth,Void,Noise,1.7162
Geometry,Truth,Noise,1.4314
Power,Order,Energy,1.4731
Noise,Entropy,Death,2.6702
Entropy,Truth,Death,4.3601
Beauty,Order,Power,2.9475
Fractal,Chaos,Gravity,3.9789
Death,Energy,Power,1.2735
Fractal,Entropy,Gravity,3.3061
Silence,Mind,Power,1.0384
Geometry,Life,Noise,2.4273
Fractal,Void,Death,4.0722
Matter,Chaos,Silence,1.3590
Beauty,Light,Power,2.6510
Life,Geometry,Noise,2.4273
Death,Energy,Power,1.2735
Geometry,Soul,Power,1.4558
Fractal,Darkness,Power,1.1389
Chaos,Truth,Power,1.1487
Logic,Gravity,Death,2.9788
Time,Noise,Death,1.9642
Fractal,Truth,Power,1.0759
Power,Entropy,Space,1.3973
Life,Chaos,Power,0.7531
Gravity,Silence,Chaos,4.2996
Power,Darkness,Space,1.4405
Space,Chaos,Power,0.7193
Beauty,Darkness,Power,1.0649
Energy,Entropy,Power,1.0467
Light,Beauty,Power,2.6510
Beauty,Time,Death,3.1961
Space,Time,Power,0.7401
Fractal,Logic,Death,3.9505
Fractal,Soul,Truth,4.0839
Power,Time,Space,1.3780
Power,Geometry,Energy,1.4171
Chaos,Entropy,Power,1.9651
Soul,Fractal,Truth,4.0839
Truth,Power,Space,1.3902
Time,Gravity,Fractal,3.7357
Entropy,Darkness,Power,0.7358
Space,Death,Power,1.0233
Silence,Fractal,Chaos,4.1523
Death,Darkness,Silence,1.2488
Order,Soul,Light,1.7689
Chaos,Matter,Silence,1.3590
Entropy,Fractal,Gravity,3.3061
Power,Void,Geometry,1.6482
Gravity,Order,Noise,1.5942
Energy,Soul,Truth,3.2747
Noise,Light,Power,0.7088
Light,Power,Energy,1.3939
Light,Death,Power,1.0841
Energy,Darkness,Power,1.3198
Power,Geometry,Energy,1.4171
Time,Order,Noise,1.4427
Gravity,Darkness,Power,0.9610
Darkness,Space,Power,0.9519
Mind,Chaos,Power,1.0267
Darkness,Time,Power,1.1298
Void,Geometry,Noise,2.4969
Noise,Space,Power,1.0252
Space,Noise,Power,1.0252
Gravity,Entropy,Time,4.2145
Logic,Space,Power,1.1225
Energy,Order,Power,1.3437
Space,Power,Darkness,1.4353
Space,Entropy,Power,0.9201
Order,Logic,Power,3.0240
Fractal,Beauty,Death,2.9919
Order,Entropy,Light,2.1936
Logic,Power,Geometry,1.5978
Energy,Entropy,Power,1.0467
Entropy,Soul,Truth,3.3272
Order,Energy,Power,1.3437
Logic,Noise,Power,0.8736
Life,Energy,Truth,4.0831
Energy,Truth,Power,1.2269
Order,Light,Chaos,4.1423
Energy,Death,Power,1.2735
Energy,Time,Power,1.0880
Death,Darkness,Silence,1.2488
Soul,Fractal,Truth,4.0839
Light,Energy,Power,0.7707
Void,Death,Silence,1.8691
Geometry,Soul,Power,1.4558
Gravity,Chaos,Fractal,4.0090
Soul,Chaos,Power,3.3116
Matter,Order,Power,4.3348
Fractal,Void,Death,4.0722
Light,Fractal,Power,1.0272
Matter,Entropy,Power,1.0246
Light,Energy,Power,0.7707
Beauty,Geometry,Power,1.3933
Fractal,Beauty,Death,2.9919
Mind,Time,Noise,2.0089
Light,Gravity,Power,1.0245
Beauty,Gravity,Death,3.5245
Power,Energy,Space,1.5816
Logic,Matter,Time,4.0450
Matter,Darkness,Power,1.3994
Void,Power,Geometry,1.6482
Mind,Noise,Death,2.7087
Silence,Darkness,Power,1.0949
Chaos,Order,Power,1.0512
Time,Noise,Death,1.9642
Beauty,Fractal,Death,2.9919
Silence,Truth,Power,1.0216
Void,Mind,Truth,4.3523
Noise,Fractal,Death,2.2315
Void,Beauty,Chaos,1.4597
Silence,Power,Energy,1.3954
Darkness,Soul,Power,1.1775
Chaos,Life,Power,0.7531
Silence,Life,Noise,1.5748
Light,Death,Power,1.0841
Silence,Noise,Chaos,1.9672
Silence,Geometry,Noise,1.5584
Fractal,Time,Gravity,3.7435
Darkness,Time,Power,1.1298
Logic,Entropy,Power,1.0247
Logic,Space,Power,1.1225
Gravity,Death,Beauty,3.9932
Truth,Beauty,Power,1.1380
Mind,Logic,Truth,4.2502
Energy,Darkness,Power,1.3198
Geometry,Noise,Power,1.0246
Geometry,Time,Power,1.3173
Mind,Darkness,Power,1.5329
Energy,Time,Power,1.0880
Time,Noise,Death,1.9642
Mind,Geometry,Power,1.0250
Silence,Mind,Power,1.0384
Chaos,Power,Space,1.4065
Space,Death,Power,1.0233
Truth,Beauty,Power,1.1380
Truth,Noise,Power,1.0711
Noise,Order,Power,0.7099
Silence,Truth,Power,1.0216
Truth,Energy,Power,1.2269
Chaos,Light,Power,1.0247
Mind,Space,Power,1.1365
Geometry,Void,Noise,2.4969
Fractal,Truth,Power,1.0759
Matter,Logic,Time,4.0450
Logic,Gravity,Death,2.9788
Entropy,Mind,Noise,2.8055
Order,Fractal,Noise,1.3934
Life,Void,Entropy,4.0047
Power,Fractal,Chaos,1.5892
Entropy,Death,Time,4.1228
Death,Chaos,Silence,3.1158
Silence,Beauty,Chaos,2.7515
Life,Time,Power,0.9508
Gravity,Mind,Death,2.8915
Energy,Light,Power,0.7707
Fractal,Logic,Death,3.9505
Truth,Soul,Power,1.1040
Power,Life,Chaos,1.5787
Energy,Truth,Power,1.2269
Darkness,Energy,Power,1.3198
Mind,Silence,Power,1.0384
Light,Logic,Power,3.1205
Mind,Chaos,Power,1.0267
Chaos,Space,Power,0.7193
Beauty,Truth,Power,1.1380
Noise,Soul,Power,1.3820
Fractal,Logic,Death,3.9505
Matter,Chaos,Silence,1.3590
Time,Mind,Noise,2.0089
Matter,Mind,Truth,4.0707
Darkness,Mind,Power,1.5329
Time,Order,Noise,1.4427
Beauty,Chaos,Silence,2.6342
Life,Truth,Power,1.1495
Chaos,Beauty,Silence,2.6342
Energy,Matter,Truth,3.2528
Gravity,Life,Chaos,1.8313
Truth,Darkness,Silence,1.4276
Beauty,Mind,Death,2.1388
Darkness,Fractal,Power,1.1389
Silence,Gravity,Chaos,4.2996
Entropy,Logic,Power,1.0247
Mind,Fractal,Death,3.9623
Power,Geometry,Energy,1.4171
Light,Noise,Power,0.7088
Mind,Beauty,Death,2.1388
Gravity,Darkness,Power,0.9610
Chaos,Void,Silence,1.9427
Light,Mind,Power,1.2578
Truth,Void,Noise,1.7162
Order,Void,Chaos,2.6251
Power,Matter,Geometry,1.5908
Darkness,Power,Space,1.4405
Silence,Death,Chaos,3.1617
Death,Soul,Power,0.9767
Space,Entropy,Power,0.9201
Beauty,Time,Death,3.1961
Order,Fractal,Noise,1.3934
Void,Mind,Truth,4.3523
Life,Void,Entropy,4.0047
Geometry,Truth,Noise,1.4314
Order,Power,Energy,1.4731
Void,Noise,Power,0.9708
Time,Matter,Silence,1.3840
Soul,Truth,Power,1.1040
Entropy,Logic,Power,1.0247
Light,Silence,Power,1.0243
Beauty,Energy,Power,0.9117
Power,Fractal,Chaos,1.5892
Power,Entropy,Space,1.3973
Logic,Truth,Power,1.0549
Matter,Power,Geometry,1.5908
Mind,Light,Power,1.2578
Gravity,Space,Power,0.8553
Noise,Beauty,Death,2.0715
Order,Noise,Power,0.7099
Chaos,Time,Gravity,4.1501
Mind,Beauty,Death,2.1388
Geometry,Soul,Power,1.4558
Entropy,Logic,Power,1.0247
Geometry,Space,Power,1.0623
Energy,Life,Truth,4.0831
Life,Beauty,Power,1.0362
Light,Time,Power,1.0485
Darkness,Void,Noise,1.3777
Noise,Logic,Power,0.8736
Life,Logic,Truth,4.3725
Truth,Gravity,Power,1.3611
Geometry,Matter,Power,1.0253
Light,Mind,Power,1.2578
Mind,Space,Power,1.1365
Geometry,Void,Noise,2.4969
Time,Energy,Power,1.0880
Entropy,Power,Space,1.3973
Darkness,Order,Noise,1.5727
Space,Truth,Power,0.8807
Order,Entropy,Light,2.1936
Darkness,Logic,Power,1.5036
Entropy,Truth,Death,4.3601
Geometry,Gravity,Power,1.2557
Power,Gravity,Soul,1.8128
Time,Mind,Noise,2.0089
Darkness,Logic,Power,1.5036
Mind,Logic,Truth,4.2502
Power,Truth,Space,1.3902
Chaos,Silence,Beauty,4.2702
Power,Beauty,Energy,1.3926
Chaos,Mind,Power,1.0267
Void,Order,Chaos,2.6251
Time,Chaos,Gravity,4.1501
Death,Energy,Power,1.2735
Fractal,Silence,Chaos,4.1523
Chaos,Beauty,Silence,2.6342
Space,Logic,Power,1.1225
Mind,Silence,Power,1.0384
Noise,Death,Beauty,2.4102
Power,Death,Energy,1.4392
Logic,Power,Geometry,1.5978
Truth,Noise,Power,1.0711
Void,Death,Silence,1.8691
Life,Order,Noise,1.0042
Entropy,Mind,Noise,2.8055
Order,Mind,Power,0.9403
Truth,Geometry,Noise,1.4314
Time,Silence,Chaos,4.3078
Power,Soul,Chaos,1.6612
Noise,Order,Power,0.7099
Beauty,Space,Power,1.0820
Life,Time,Power,0.9508
Death,Entropy,Time,4.1228
Chaos,Gravity,Fractal,4.0090
Time,Truth,Entropy,4.3426
Light,Order,Chaos,4.1423
Geometry,Chaos,Power,1.0226
Gravity,Silence,Chaos,4.2996
Fractal,Time,Gravity,3.7435
Matter,Logic,Time,4.0450
Mind,Void,Truth,4.3523
Space,Noise,Power,1.0252
Geometry,Power,Energy,1.4171
Beauty,Silence,Chaos,2.7515
Gravity,Life,Chaos,1.8313
Noise,Fractal,Death,2.2315
Space,Soul,Power,0.9293
Silence,Noise,Chaos,1.9672
Silence,Life,Noise,1.5748
Death,Soul,Power,0.9767
Noise,Darkness,Power,1.0237
Truth,Gravity,Power,1.3611
Fractal,Life,Truth,3.9896
Matter,Geometry,Power,1.0253
Geometry,Time,Power,1.3173
Light,Space,Power,1.0853
Chaos,Noise,Silence,3.1409
Darkness,Noise,Power,1.0237
Space,Truth,Power,0.8807
Gravity,Soul,Chaos,4.3995
Death,Silence,Chaos,3.1617
Soul,Space,Power,0.9293
Darkness,Fractal,Power,1.1389
Truth,Entropy,Death,4.3601
Time,Void,Chaos,2.2649
Geometry,Death,Silence,1.4695
Death,Mind,Noise,2.4772
Logic,Light,Power,3.1205
Silence,Truth,Power,1.0216
Time,Mind,Noise,2.0089
Darkness,Beauty,Power,1.0649
Silence,Chaos,Beauty,4.2702
Void,Matter,Time,4.2608
Mind,Order,Power,0.9403
Void,Mind,Truth,4.3523
Space,Fractal,Power,0.7837
Mind,Space,Power,1.1365
Geometry,Noise,Power,1.0246
Time,Death,Beauty,4.2028
Power,Noise,Energy,1.3907
Darkness,Noise,Power,1.0237
Order,Life,Noise,1.0042
Chaos,Entropy,Power,1.9651
Life,Darkness,Power,1.5189
Chaos,Space,Power,0.7193
Matter,Death,Power,1.3059
Death,Order,Noise,2.6193
Silence,Space,Power,1.0063
Beauty,Mind,Death,2.1388
Death,Life,Power,1.3842
Matter,Death,Power,1.3059
Fractal,Logic,Death,3.9505
Entropy,Chaos,Power,1.9651
Time,Matter,Silence,1.3840
Matter,Gravity,Death,1.3929
Fractal,Power,Chaos,1.5892
Beauty,Geometry,Power,1.3933
Time,Matter,Silence,1.3840
Chaos,Mind,Power,1.0267
Energy,Silence,Power,1.0289
Soul,Entropy,Truth,3.3272
Void,Gravity,Chaos,2.2528
Death,Beauty,Gravity,2.5503
Order,Time,Noise,1.4427
Darkness,Truth,Silence,1.4276
Beauty,Truth,Power,1.1380
Energy,Order,Power,1.3437
Chaos,Energy,Power,1.0250
Entropy,Noise,Death,2.6702
Power,Gravity,Soul,1.8128
Light,Void,Power,0.9016
Mind,Gravity,Death,2.8915
Death,Soul,Power,0.9767
Noise,Gravity,Death,2.7163
Logic,Soul,Truth,4.3758
Noise,Death,Beauty,2.4102
Power,Darkness,Space,1.4405
Noise,Mind,Death,2.7087
Power,Soul,Chaos,1.6612
Noise,Void,Power,0.9708
Gravity,Order,Noise,1.5942
Mind,Beauty,Death,2.1388
Light,Chaos,Power,1.0247
Void,Energy,Entropy,3.9529
Noise,Mind,Death,2.7087
Space,Beauty,Power,1.0820
Darkness,Truth,Silence,1.4276
Chaos,Void,Silence,1.9427
Soul,Light,Power,1.0254
Silence,Fractal,Chaos,4.1523
Time,Void,Chaos,2.2649
Order,Fractal,Noise,1.3934
Soul,Chaos,Power,3.3116
Darkness,Space,Power,0.9519
Energy,Time,Power,1.0880
Life,Space,Power,0.9829
Logic,Beauty,Chaos,1.9535
Order,Death,Noise,2.6193
Soul,Silence,Power,1.2595
Geometry,Noise,Power,1.0246
Entropy,Fractal,Gravity,3.3061
Mind,Logic,Truth,4.2502
Mind,Noise,Death,2.7087
Gravity,Time,Fractal,3.7357
Entropy,Soul,Truth,3.3272
Gravity,Fractal,Time,3.7406
Gravity,Death,Beauty,3.9932
Geometry,Noise,Power,1.0246
Chaos,Energy,Power,1.0250
Geometry,Darkness,Noise,1.3489
Darkness,Time,Power,1.1298
Death,Entropy,Time,4.1228
Mind,Death,Noise,2.4772
Void,Beauty,Chaos,1.4597
Chaos,Mind,Power,1.0267
Energy,Beauty,Power,0.9117
Chaos,Time,Gravity,4.1501
Space,Truth,Power,0.8807
Noise,Mind,Death,2.7087
Logic,Matter,Time,4.0450
Life,Geometry,Noise,2.4273
Gravity,Fractal,Time,3.7406
Order,Soul,Light,1.7689
Void,Death,Silence,1.8691
Geometry,Truth,Noise,1.4314
Void,Gravity,Chaos,2.2528
Truth,Beauty,Power,1.1380
Entropy,Matter,Power,1.0246
Geometry,Soul,Power,1.4558
Geometry,Beauty,Power,1.3933
Void,Fractal,Death,4.0722
Beauty,Light,Power,2.6510
Silence,Time,Chaos,4.3078
Fractal,Silence,Chaos,4.1523
Fractal,Entropy,Gravity,3.3061
Matter,Time,Silence,1.3840
Entropy,Silence,Power,1.0313
Mind,Light,Power,1.2578
Light,Death,Power,1.0841
Fractal,Light,Power,1.0272
Chaos,Time,Gravity,4.1501
Matter,Mind,Truth,4.0707
Gravity,Truth,Power,1.3611
Truth,Darkness,Silence,1.4276
Noise,Silence,Chaos,1.9672
Space,Beauty,Power,1.0820
Fractal,Matter,Death,3.1484
Matter,Darkness,Power,1.3994
Logic,Entropy,Power,1.0247
Silence,Life,Noise,1.5748
Silence,Death,Chaos,3.1617
Matter,Gravity,Death,1.3929
Gravity,Mind,Death,2.8915
Power,Silence,Energy,1.3954
Death,Silence,Chaos,3.1617
Matter,Void,Time,4.2608
Geometry,Chaos,Power,1.0226
Matter,Death,Power,1.3059
Truth,Logic,Power,1.0549
Logic,Gravity,Death,2.9788
Noise,Time,Death,1.9642
Silence,Light,Power,1.0243
Darkness,Space,Power,0.9519
Entropy,Order,Light,2.1936
Soul,Power,Chaos,1.6612
Energy,Beauty,Power,0.9117
Geometry,Darkness,Noise,1.3489
Soul,Light,Power,1.0254
Order,Light,Chaos,4.1423
Time,Beauty,Death,3.1961
Beauty,Darkness,Power,1.0649
Truth,Death,Entropy,4.3976
Logic,Truth,Power,1.0549
Logic,Fractal,Death,3.9505
Chaos,Truth,Power,1.1487
Space,Power,Darkness,1.4353
Death,Logic,Silence,2.0096
Light,Darkness,Power,1.0422
Void,Light,Power,0.9016
Beauty,Truth,Power,1.1380
Space,Life,Power,0.9829
Mind,Time,Noise,2.0089
Silence,Noise,Chaos,1.9672
Matter,Beauty,Chaos,2.6797
Entropy,Beauty,Noise,2.0962
Life,Energy,Truth,4.0831
Geometry,Power,Energy,1.4171
Logic,Darkness,Power,1.5036
Time,Darkness,Power,1.1298
Darkness,Death,Silence,1.2488
Void,Noise,Power,0.9708
Mind,Matter,Truth,4.0707
Chaos,Fractal,Gravity,3.9789
Matter,Void,Time,4.2608
Beauty,Mind,Death,2.1388
Order,Chaos,Power,1.0512
Darkness,Life,Power,1.5189
Life,Order,Noise,1.0042
Energy,Beauty,Power,0.9117
Void,Noise,Power,0.9708
Matter,Darkness,Power,1.3994
Soul,Energy,Truth,3.2747
Fractal,Chaos,Gravity,3.9789
